Yogi Berra,"['/players/b/berrayo01.shtml', '/collection/the-collection-online/search/671475?rpp=30&pg=1&ao=on&ft=Yogi+Berra&what=Baseball+cards&pos=7']"
Earle Combs,"['/players/c/combsea01.shtml', '/collection/the-collection-online/search/407746?rpp=30&pg=1&ao=on&ft=Earle+Combs&what=Baseball+cards&pos=1']"
Mel Ott,"['/players/o/ottme01.shtml', '/collection/the-collection-online/search/412618?rpp=30&pg=1&ao=on&ft=Mel+Ott&what=Baseball+cards&pos=1']"
Lou Boudreau,"['/players/b/boudrlo01.shtml', '/collection/the-collection-online/search/665690?rpp=30&pg=1&ao=on&ft=Lou+Boudreau&what=Baseball+cards&pos=6']"
Amos Rusie,"['/players/r/rusieam01.shtml', '/collection/the-collection-online/search/402069?rpp=30&pg=1&ao=on&ft=Amos+Rusie&what=Baseball+cards&pos=4']"
Chick Hafey,"['/players/h/hafeych01.shtml', '/collection/the-collection-online/search/408280?rpp=30&pg=1&ao=on&ft=Chick+Hafey&what=Baseball+cards&pos=1']"
Kid Nichols,"['/players/n/nichoki01.shtml', []]"
Waite Hoyt,"['/players/h/hoytwa01.shtml', '/collection/the-collection-online/search/428994?rpp=30&pg=1&ao=on&ft=Waite+Hoyt&what=Baseball+cards&pos=2']"
Joe McCarthy,"['/managers/mccarjo99.shtml', '/collection/the-collection-online/search/666439?rpp=30&pg=1&ao=on&ft=Joe+McCarthy&what=Baseball+cards&pos=1']"
Buck Ewing,"['/players/e/ewingbu01.shtml', '/collection/the-collection-online/search/402276?rpp=30&pg=1&ao=on&ft=Buck+Ewing&what=Baseball+cards&pos=11']"
Billy Williams,"['/players/w/willibi01.shtml', '/collection/the-collection-online/search/403043?rpp=30&pg=1&ao=on&ft=Billy+Williams&what=Baseball+cards&pos=27']"
Red Faber,"['/players/f/faberre01.shtml', '/collection/the-collection-online/search/407725?rpp=30&pg=1&ao=on&ft=Red+Faber&what=Baseball+cards&pos=1']"
